Episode 316/500, Total Reward: 87, Epsilon: 0.205
Episode 317/500, Total Reward: 88, Epsilon: 0.204
Episode 318/500, Total Reward: 90, Epsilon: 0.203
Episode 319/500, Total Reward: 87, Epsilon: 0.202
Episode 320/500, Total Reward: 88, Epsilon: 0.201
Episode 321/500, Total Reward: 87, Epsilon: 0.200
Episode 322/500, Total Reward: 88, Epsilon: 0.199
Episode 323/500, Total Reward: 90, Epsilon: 0.198
Episode 324/500, Total Reward: 86, Epsilon: 0.197
Episode 325/500, Total Reward: 84, Epsilon: 0.196
Episode 326/500, Total Reward: 88, Epsilon: 0.195
Episode 327/500, Total Reward: 78, Epsilon: 0.194
Episode 328/500, Total Reward: 86, Epsilon: 0.193
Episode 329/500, Total Reward: 82, Epsilon: 0.192
Episode 330/500, Total Reward: 89, Epsilon: 0.191
Episode 331/500, Total Reward: 76, Epsilon: 0.190
Episode 332/500, Total Reward: 90, Epsilon: 0.189
Episode 333/500, Total Reward: 86, Epsilon: 0.188
Episode 334/500, Total Reward: 84, Epsilon: 0.187
Episode 335/500, Total Reward: 90, Epsilon: 0.187
Episode 336/500, Total Reward: 87, Epsilon: 0.186
Episode 337/500, Total Reward: 90, Epsilon: 0.185
Episode 338/500, Total Reward: 90, Epsilon: 0.184
Episode 339/500, Total Reward: 90, Epsilon: 0.183
Episode 340/500, Total Reward: 90, Epsilon: 0.182
Episode 341/500, Total Reward: 84, Epsilon: 0.181
Episode 342/500, Total Reward: 90, Epsilon: 0.180
Episode 343/500, Total Reward: 88, Epsilon: 0.179
Episode 344/500, Total Reward: 85, Epsilon: 0.178
Episode 345/500, Total Reward: 82, Epsilon: 0.177
Episode 346/500, Total Reward: 88, Epsilon: 0.177
Episode 347/500, Total Reward: 85, Epsilon: 0.176
Episode 348/500, Total Reward: 86, Epsilon: 0.175
Episode 349/500, Total Reward: 90, Epsilon: 0.174
Episode 350/500, Total Reward: 90, Epsilon: 0.173
Episode 351/500, Total Reward: 90, Epsilon: 0.172
Episode 352/500, Total Reward: 88, Epsilon: 0.171
Episode 353/500, Total Reward: 88, Epsilon: 0.170
Episode 354/500, Total Reward: 88, Epsilon: 0.170
Episode 355/500, Total Reward: 88, Epsilon: 0.169
Episode 356/500, Total Reward: 90, Epsilon: 0.168
Episode 357/500, Total Reward: 87, Epsilon: 0.167
Episode 358/500, Total Reward: 89, Epsilon: 0.166
Episode 359/500, Total Reward: 84, Epsilon: 0.165
Episode 360/500, Total Reward: 90, Epsilon: 0.165
Episode 361/500, Total Reward: 86, Epsilon: 0.164
Episode 362/500, Total Reward: 86, Epsilon: 0.163
Episode 363/500, Total Reward: 87, Epsilon: 0.162
Episode 364/500, Total Reward: 81, Epsilon: 0.161
Episode 365/500, Total Reward: 88, Epsilon: 0.160
Episode 366/500, Total Reward: 90, Epsilon: 0.160
Episode 367/500, Total Reward: 88, Epsilon: 0.159
